title,dir_first_name,dir_last_name,runtime,rating,relyear,genre,score,gross,distnm
Avengers EndGame,Anthony,Russo,181,PG - 13,2019,Action,6.4,2.798 billion,Walt Disney Studios
Titanc,James,Cameron,195,PG - 13 ,1997,Adventure,7.5,2.201 billion,Paramount Pictures
Barbie,Greta,Gerwig,114,PG - 13 ,2023,Comedy,7.7,1.006 billion,Warner Bros.
Frozen II,Jennifer ,Lee,103,PG,2019,Drama,8.2,1.45 billion,Walt Disney Studios
Jurasic World,Collin,Trevorrow,124,PG - 13 ,2015,Fantasy,5.8,1.671 billion,Universal Pictures
The Lion King,John,Favreau,118,PG,2019,Family,7.7,1.662 billion,Walt Disney Studios
Harry Potter and the Deathly Hallows – Part,David,Yates,130,PG - 13 ,2011,Fantasy,6.8,1.342 billion,Warner Bros.
Inception,Cristopher,Nolan,148,PG - 13 ,2010,Science Fiction,6.2,836 million,Warner Bros.
Joker,Todd,Phillips,122,R,2019,Thriller,5.9,1.073 billion,Walt Disney Studios
The Super Mario Bros. Movie,Aaron,Hovrath,92,PG,2023,Adventure,5.8,1.361 billion,Universal Pictures
Here Comes The Boom,Frank,Corcai,105,PG,2012,Western,7.3,73 million,Columbia Pictures
The Godfather,Francis,Coppala,175,R,1972,Drama,6.9,250 million,Paramount Pictures
The Dark Knight,Cristopher,Nolan,152,PG - 13,2008,Action,6.4,1.006 billion,Warner Bros.
"The Good, The Bad, and The Ugly",Sergio,Leone,178,R,,Western,8.6,NULL,United Artists
Jurasic World: Dominion,Colin,Trevorrow,147,PG - 13 ,2022,Action,7.6,J,Universal Pictures
The Lord of the Rings: The Return of the King,Peter,Jackson,201,PG - 13,2003,Adventure,7.5,1.146 billion,New Line Cinema
Pulp Fiction,Quentin,Tarantino,154,R,1994,Comedy,6.6,213 million,Miramax Films
Wonder Woman,Patty,Jenkins,141,PG - 13 ,2017,Adventure,6.2,836 million,Warner Bros.
Joy,David,Russel,124,PG - 13,2015,Comedy,8.4,101 million,20th Century Fox
Forest Gump,Robert,Zemeckis,142,PG - 13,1994,Drama,6.5,678 million,Paramount Pictures
The Lego Movie,Phil,Lord,100,PG,2014,Mystery,6.9,467 million,Warner Bros.
Goodfellas,Martin,Scorsese,146,R,1990,Drama,7.6,47 million,Warner Bros.
The Silence of the Lamabs,Jonathan,Demme,118,R,1991,Horror,6.2,272 million,Orion Pictures
Incidius,Jamas,Wan,103,PG -13,2010,Horror,7.2,49 million,Sony Pictures Classics
Parasite,Boog,Joon-ho,132,R,2019,Thriller,7.2,O,CJ Entertainment
